Ref,Val,Package,PosX,PosY,Rot,Side
"BL0","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-166.750000,-68.250000,0.000000,bottom
"BL1","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-157.700000,-68.250000,0.000000,bottom
"BL2","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-148.700000,-68.230000,0.000000,bottom
"BL3","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-139.700000,-68.230000,0.000000,bottom
"BL4","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-130.700000,-68.225000,0.000000,bottom
"BL5","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-121.700000,-68.275000,0.000000,bottom
"BL6","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-112.700000,-68.275000,0.000000,bottom
"BL7","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-103.750000,-68.280000,0.000000,bottom
"J2","Conn_02x20_Odd_Even_Female","PinHeader_2x20_P1.27mm_Vertical_SMD",-105.000000,-97.500000,180.000000,bottom
"J4","Conn_02x20_Odd_Even_Female","PinHeader_2x20_P1.27mm_Vertical_SMD",-165.000000,-97.500000,180.000000,bottom
"J5","JST_PH_SM2","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",-154.250000,-124.900000,180.000000,bottom
"S0","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-93.200000,-76.200000,90.000000,bottom
"S1","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-93.200000,-85.200000,90.000000,bottom
"S2","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-93.200000,-94.200000,90.000000,bottom
"S3","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-93.200000,-103.200000,90.000000,bottom
"S4","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-176.800000,-103.200000,-90.000000,bottom
"S5","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-176.800000,-94.200000,-90.000000,bottom
"S6","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-176.800000,-85.200000,-90.000000,bottom
"S7","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",-176.800000,-76.250000,-90.000000,bottom
"SW1","SW_SPDT","SW_SPDT_PCM12",-138.200000,-126.625000,180.000000,bottom
"SW2","SW_SPDT","SW_SPDT_PCM12",-93.375000,-116.000000,90.000000,bottom
"TP19","TestPoint","Pad_3x3mm",-156.250000,-118.100000,0.000000,bottom
"TP20","TestPoint","Pad_3x3mm",-152.250000,-118.100000,0.000000,bottom
