Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",133.700000,-93.550000,90.000000,top
"C2","10u","C_0603_1608Metric",164.825000,-74.050000,0.000000,top
"C3","10u","C_0603_1608Metric",146.800000,-74.050000,0.000000,top
"C4","1u","C_0402_1005Metric",164.825000,-75.750000,0.000000,top
"C5","1u","C_0402_1005Metric",146.800000,-75.750000,0.000000,top
"C6","0u1","C_0402_1005Metric",163.750000,-81.300000,0.000000,top
"C7","0u1","C_0402_1005Metric",145.700000,-81.300000,0.000000,top
"C8","10u","C_0603_1608Metric",128.800000,-74.050000,0.000000,top
"C9","10u","C_0603_1608Metric",110.800000,-74.050000,0.000000,top
"C10","1u","C_0402_1005Metric",128.800000,-75.750000,0.000000,top
"C11","1u","C_0402_1005Metric",110.800000,-75.750000,0.000000,top
"C12","0u1","C_0402_1005Metric",127.700000,-81.300000,0.000000,top
"C13","0u1","C_0402_1005Metric",109.700000,-81.300000,0.000000,top
"C14","0u1","C_0402_1005Metric",94.900000,-75.600000,90.000000,top
"C15","0u1","C_0402_1005Metric",94.900000,-84.600000,90.000000,top
"C16","0u1","C_0402_1005Metric",94.900000,-93.550000,90.000000,top
"C17","0u1","C_0402_1005Metric",94.900000,-102.575000,90.000000,top
"C18","1u","C_0402_1005Metric",167.375000,-72.125000,0.000000,top
"C19","1u","C_0402_1005Metric",158.300000,-72.150000,0.000000,top
"C20","1u","C_0402_1005Metric",149.350000,-72.150000,0.000000,top
"C21","1u","C_0402_1005Metric",140.300000,-72.150000,0.000000,top
"C22","0u1","C_0402_1005Metric",175.100000,-103.825000,-90.000000,top
"C23","0u1","C_0402_1005Metric",175.100000,-94.825000,-90.000000,top
"C24","0u1","C_0402_1005Metric",175.100000,-85.824999,-90.000000,top
"C25","0u1","C_0402_1005Metric",175.100000,-76.875000,-90.000000,top
"C26","1u","C_0402_1005Metric",131.830000,-72.150000,0.000000,top
"C27","1u","C_0402_1005Metric",122.350000,-72.150000,0.000000,top
"C28","1u","C_0402_1005Metric",113.350000,-72.150000,0.000000,top
"C29","1u","C_0402_1005Metric",104.400000,-72.150000,0.000000,top
"C30","100u","CP_EIA-7343-31_Kemet-D",154.225000,-122.200000,180.000000,top
"C31","10u","C_0603_1608Metric",135.410000,-110.675000,90.000000,top
"C32","22u","C_0603_1608Metric",140.145000,-107.475000,180.000000,top
"C33","10u","C_0603_1608Metric",108.825000,-118.300000,90.000000,top
"C34","22u","C_0603_1608Metric",113.500000,-115.200000,180.000000,top
"C35","10nF","C_0402_1005Metric",126.725000,-119.750000,0.000000,top
"D1","R_LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",145.475000,-126.900000,180.000000,top
"J1","Conn_02x20_Odd_Even_Male","PinHeader_2x20_P1.27mm_Vertical_SMD",105.000000,-97.500000,0.000000,top
"J3","Conn_02x20_Odd_Even_Male","PinHeader_2x20_P1.27mm_Vertical_SMD",165.000000,-97.500000,0.000000,top
