Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0u1 16V","C_0402_1005Metric",-118.000000,-103.240000,0.000000,bottom
"C2","0u1 16V","C_0402_1005Metric",-118.000000,-104.590000,0.000000,bottom
"C3","0u1 16V","C_0402_1005Metric",-118.000000,-105.890000,0.000000,bottom
"C4","0u1 16V","C_0402_1005Metric",-118.000000,-107.200000,0.000000,bottom
"C5","0u1 6.3V","C_0402_1005Metric",-125.520952,-72.100000,180.000000,bottom
"C6","0u1 6.3V","C_0402_1005Metric",-125.520952,-73.400000,180.000000,bottom
"C7","0u1 6.3V","C_0402_1005Metric",-125.520952,-74.700000,180.000000,bottom
"C8","0u1 6.3V","C_0402_1005Metric",-125.520952,-76.000000,180.000000,bottom
"C9","0u1 6.3V","C_0402_1005Metric",-130.300000,-69.900000,90.000000,bottom
"C10","0u1 6.3V","C_0402_1005Metric",-129.000000,-69.900000,90.000000,bottom
"C11","22u 16V","C_0603_1608Metric",-99.500000,-112.300000,180.000000,bottom
"C13","10u 35v","C_0805_2012Metric",-152.000000,-111.500000,-90.000000,bottom
"C14","10u 35v","C_0805_2012Metric",-149.800000,-111.500000,-90.000000,bottom
"C15","100n 35V","C_0402_1005Metric",-136.100000,-109.500000,180.000000,bottom
"C16","10u 35V","C_0603_1608Metric",-142.450000,-87.900000,90.000000,bottom
"C17","100n 35V","C_0402_1005Metric",-146.450000,-116.280000,-90.000000,bottom
"C18","100uF","CP_EIA-7343-31_Kemet-D",-133.100000,-98.100000,90.000000,bottom
"C19","22u 16V","C_0603_1608Metric",-137.300000,-85.200000,0.000000,bottom
"C20","1nf 16V","C_0402_1005Metric",-138.450000,-112.030000,180.000000,bottom
"C21","1.2nF 16V","C_0402_1005Metric",-136.100000,-110.750000,180.000000,bottom
"C22","1nf 16V","C_0402_1005Metric",-138.450000,-113.300000,0.000000,bottom
"C23","22u 16V","C_0805_2012Metric",-145.000000,-97.400000,0.000000,bottom
"C24","22u 16V","C_0805_2012Metric",-145.000000,-99.900000,0.000000,bottom
"C25","22u 16V","C_0805_2012Metric",-145.000000,-102.400000,0.000000,bottom
"D6","D_Schottky","D_SMB",-126.200000,-101.300000,0.000000,bottom
"J4","Conn_02x20_Odd_Even_Female","PinHeader_2x20_P1.27mm_Vertical_SMD",-105.000000,-97.500000,180.000000,bottom
"J6","Conn_02x20_Odd_Even_Female","PinHeader_2x20_P1.27mm_Vertical_SMD",-165.000000,-97.500000,180.000000,bottom
"J10","Micro_SD_Card_Det","SDCARD_MOLEX_503398-1892",-108.000000,-72.900000,180.000000,bottom
"L1","SRN6045TA-3R3Y","L_Bourns_SRN6045TA",-139.300000,-103.300000,90.000000,bottom
"Q1","Q_NMOS_GSD","SOT-23",-111.700000,-111.800000,180.000000,bottom
"R5","4.7K","R_0402_1005Metric",-97.900000,-119.150000,0.000000,bottom
"R6","900K","R_0402_1005Metric",-102.600000,-112.800000,90.000000,bottom
"R7","50K","R_0402_1005Metric",-102.600000,-117.800000,90.000000,bottom
"R8","10R","R_0402_1005Metric",-138.450000,-109.500000,180.000000,bottom
"R9","55K","R_0402_1005Metric",-142.450000,-90.500000,180.000000,bottom
"R10","62K","R_0402_1005Metric",-142.450000,-91.900000,0.000000,bottom
"R11","20K 1%","R_0402_1005Metric",-138.450000,-110.750000,180.000000,bottom
"R12","12K 1%","R_0402_1005Metric",-136.100000,-113.300000,180.000000,bottom
"R13","2.2K 1%","R_0402_1005Metric",-133.650000,-113.300000,180.000000,bottom
"R14","75K","R_0402_1005Metric",-140.050000,-92.700000,180.000000,bottom
"R15","24K","R_0402_1005Metric",-137.660000,-92.700000,180.000000,bottom
"R16","10K","R_0402_1005Metric",-175.800000,-77.300000,180.000000,bottom
"R17","10K","R_0402_1005Metric",-175.800000,-76.300000,180.000000,bottom
"R18","10K","R_0402_1005Metric",-175.800000,-96.800000,180.000000,bottom
"R19","10K","R_0402_1005Metric",-175.800000,-95.800000,180.000000,bottom
"SW1","SW_SPST","Panasonic_EVQPUL_EVQPUC",-130.200000,-126.400000,0.000000,bottom
"SW2","SW_SPDT","SW_SPDT_PCM12",-93.375000,-116.900000,90.000000,bottom
"SW3","SW_SPDT","SW_SPDT_PCM12",-140.100000,-126.525000,180.000000,bottom
"U2","ATtiny85V-10S","SOIC-8W_5.3x5.3mm_P1.27mm",-120.100000,-111.500000,180.000000,bottom
"U4","G313-06329-00","G313-06329-00",-135.000000,-77.000000,-90.000000,bottom
"U6","TUSB321","Texas_X2QFN-12_1.6x1.6mm_P0.4mm",-105.249999,-115.449999,90.000000,bottom
"U7","MPM3610","MPM3610_QFN-20_5x3mm",-137.250000,-89.300000,90.000000,bottom
"U16","AP64501SP-13","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias",-143.900000,-111.400000,180.000000,bottom
